ENERGY, 1079.898041 joules, 1496056402 ms, plat
ENERGY, 1079.898041 joules, 1496056402 ms, plat.node0
ENERGY, 1086.270508 joules, 1496056502 ms, plat
ENERGY, 1086.270508 joules, 1496056502 ms, plat.node0
ENERGY, 1092.727203 joules, 1496056604 ms, plat
ENERGY, 1092.727203 joules, 1496056604 ms, plat.node0
ENERGY, 1099.082977 joules, 1496056704 ms, plat
ENERGY, 1099.082977 joules, 1496056704 ms, plat.node0
ENERGY, 1105.463348 joules, 1496056804 ms, plat
ENERGY, 1105.463348 joules, 1496056804 ms, plat.node0
ENERGY, 1111.851868 joules, 1496056904 ms, plat
ENERGY, 1111.851868 joules, 1496056904 ms, plat.node0
ENERGY, 1118.236877 joules, 1496057005 ms, plat
ENERGY, 1118.301941 joules, 1496057005 ms, plat.node0
ENERGY, 1124.635956 joules, 1496057105 ms, plat
ENERGY, 1124.635956 joules, 1496057105 ms, plat.node0
ENERGY, 1131.003998 joules, 1496057205 ms, plat
ENERGY, 1131.003998 joules, 1496057205 ms, plat.node0
ENERGY, 1137.401337 joules, 1496057305 ms, plat
ENERGY, 1137.401337 joules, 1496057305 ms, plat.node0
ENERGY, 1143.773346 joules, 1496057406 ms, plat
ENERGY, 1143.773346 joules, 1496057406 ms, plat.node0
ENERGY, 1150.151947 joules, 1496057506 ms, plat
ENERGY, 1150.151947 joules, 1496057506 ms, plat.node0
ENERGY, 1156.478210 joules, 1496057606 ms, plat
ENERGY, 1156.478210 joules, 1496057606 ms, plat.node0
ENERGY, 1162.847839 joules, 1496057706 ms, plat
ENERGY, 1162.847839 joules, 1496057706 ms, plat.node0
ENERGY, 1169.232727 joules, 1496057806 ms, plat
ENERGY, 1169.232727 joules, 1496057806 ms, plat.node0
ENERGY, 1175.674561 joules, 1496057907 ms, plat
ENERGY, 1175.674561 joules, 1496057907 ms, plat.node0
ENERGY, 1182.063171 joules, 1496058007 ms, plat
ENERGY, 1182.063171 joules, 1496058007 ms, plat.node0
ENERGY, 1188.391174 joules, 1496058107 ms, plat
ENERGY, 1188.391174 joules, 1496058107 ms, plat.node0
ENERGY, 1194.906555 joules, 1496058209 ms, plat
ENERGY, 1194.906555 joules, 1496058209 ms, plat.node0
