time(ms) energy(J) GlobalRank
ENERGY, 1086.999725 joules, 1495880054 ms, plat.node0
ENERGY, 1093.975739 joules, 1495880155 ms, plat
ENERGY, 1093.975739 joules, 1495880155 ms, plat.node0
ENERGY, 1100.958710 joules, 1495880255 ms, plat
ENERGY, 1100.958710 joules, 1495880255 ms, plat.node0
ENERGY, 1107.961853 joules, 1495880355 ms, plat
ENERGY, 1107.961853 joules, 1495880355 ms, plat.node0
ENERGY, 1114.940125 joules, 1495880455 ms, plat
ENERGY, 1114.940125 joules, 1495880455 ms, plat.node0
ENERGY, 1121.918884 joules, 1495880555 ms, plat
ENERGY, 1121.918884 joules, 1495880555 ms, plat.node0
ENERGY, 1128.833893 joules, 1495880655 ms, plat
ENERGY, 1128.833893 joules, 1495880655 ms, plat.node0
ENERGY, 1135.842010 joules, 1495880755 ms, plat
ENERGY, 1135.842010 joules, 1495880755 ms, plat.node0
ENERGY, 1142.826263 joules, 1495880856 ms, plat
ENERGY, 1142.826263 joules, 1495880856 ms, plat.node0
ENERGY, 1149.794678 joules, 1495880956 ms, plat
ENERGY, 1149.794678 joules, 1495880956 ms, plat.node0
ENERGY, 1156.779541 joules, 1495881056 ms, plat
ENERGY, 1156.779541 joules, 1495881056 ms, plat.node0
ENERGY, 1163.786926 joules, 1495881156 ms, plat
ENERGY, 1163.786926 joules, 1495881156 ms, plat.node0
ENERGY, 1170.766235 joules, 1495881256 ms, plat
ENERGY, 1170.766235 joules, 1495881256 ms, plat.node0
ENERGY, 1177.675995 joules, 1495881356 ms, plat
ENERGY, 1177.675995 joules, 1495881356 ms, plat.node0
ENERGY, 1184.657043 joules, 1495881456 ms, plat
ENERGY, 1184.657043 joules, 1495881456 ms, plat.node0
ENERGY, 1191.654938 joules, 1495881556 ms, plat
ENERGY, 1191.654938 joules, 1495881556 ms, plat.node0
ENERGY, 1198.633179 joules, 1495881657 ms, plat
ENERGY, 1198.633179 joules, 1495881657 ms, plat.node0
ENERGY, 1205.607086 joules, 1495881757 ms, plat
ENERGY, 1205.607086 joules, 1495881757 ms, plat.node0
ENERGY, 1212.583649 joules, 1495881857 ms, plat
ENERGY, 1212.583649 joules, 1495881857 ms, plat.node0
ENERGY, 1219.511078 joules, 1495881957 ms, plat
ENERGY, 1219.511078 joules, 1495881957 ms, plat.node0
ENERGY, 1226.492401 joules, 1495882057 ms, plat
ENERGY, 1226.492401 joules, 1495882057 ms, plat.node0
ENERGY, 1233.459961 joules, 1495882157 ms, plat
ENERGY, 1233.459961 joules, 1495882157 ms, plat.node0
ENERGY, 1240.423920 joules, 1495882257 ms, plat
ENERGY, 1240.423920 joules, 1495882257 ms, plat.node0
ENERGY, 1247.396301 joules, 1495882357 ms, plat
ENERGY, 1247.396301 joules, 1495882357 ms, plat.node0
ENERGY, 1254.385376 joules, 1495882458 ms, plat
ENERGY, 1254.385376 joules, 1495882458 ms, plat.node0
ENERGY, 1261.365967 joules, 1495882558 ms, plat
ENERGY, 1261.365967 joules, 1495882558 ms, plat.node0
ENERGY, 1268.344818 joules, 1495882658 ms, plat
ENERGY, 1268.344818 joules, 1495882658 ms, plat.node0
ENERGY, 1275.324432 joules, 1495882758 ms, plat
ENERGY, 1275.324432 joules, 1495882758 ms, plat.node0
ENERGY, 1282.244507 joules, 1495882858 ms, plat
ENERGY, 1282.244507 joules, 1495882858 ms, plat.node0
ENERGY, 1289.221802 joules, 1495882958 ms, plat
ENERGY, 1289.221802 joules, 1495882958 ms, plat.node0
ENERGY, 1296.192688 joules, 1495883058 ms, plat
ENERGY, 1296.192688 joules, 1495883058 ms, plat.node0
ENERGY, 1303.160492 joules, 1495883158 ms, plat
ENERGY, 1303.160492 joules, 1495883158 ms, plat.node0
ENERGY, 1310.148621 joules, 1495883259 ms, plat
ENERGY, 1310.148621 joules, 1495883259 ms, plat.node0
ENERGY, 1317.137115 joules, 1495883359 ms, plat
ENERGY, 1317.137115 joules, 1495883359 ms, plat.node0
ENERGY, 1324.115814 joules, 1495883459 ms, plat
ENERGY, 1324.115814 joules, 1495883459 ms, plat.node0
ENERGY, 1331.016571 joules, 1495883559 ms, plat
ENERGY, 1331.016571 joules, 1495883559 ms, plat.node0
ENERGY, 1337.987152 joules, 1495883659 ms, plat
ENERGY, 1337.987152 joules, 1495883659 ms, plat.node0
ENERGY, 1344.986969 joules, 1495883759 ms, plat
ENERGY, 1344.986969 joules, 1495883759 ms, plat.node0
ENERGY, 1351.215668 joules, 1495883859 ms, plat
ENERGY, 1351.215668 joules, 1495883859 ms, plat.node0
ENERGY, 1357.404022 joules, 1495883959 ms, plat
ENERGY, 1357.404022 joules, 1495883959 ms, plat.node0
ENERGY, 1363.369080 joules, 1495884060 ms, plat
ENERGY, 1363.369080 joules, 1495884060 ms, plat.node0
ENERGY, 1369.386597 joules, 1495884160 ms, plat
ENERGY, 1369.386597 joules, 1495884160 ms, plat.node0
ENERGY, 1375.454803 joules, 1495884260 ms, plat
ENERGY, 1375.454803 joules, 1495884260 ms, plat.node0
ENERGY, 1381.585602 joules, 1495884360 ms, plat
ENERGY, 1381.585602 joules, 1495884360 ms, plat.node0
ENERGY, 1387.844330 joules, 1495884460 ms, plat
ENERGY, 1387.844330 joules, 1495884460 ms, plat.node0
ENERGY, 1393.978210 joules, 1495884560 ms, plat
ENERGY, 1393.978210 joules, 1495884560 ms, plat.node0
ENERGY, 1400.128693 joules, 1495884660 ms, plat
ENERGY, 1400.128693 joules, 1495884660 ms, plat.node0
ENERGY, 1406.299530 joules, 1495884760 ms, plat
ENERGY, 1406.299530 joules, 1495884760 ms, plat.node0
ENERGY, 1412.535400 joules, 1495884860 ms, plat
ENERGY, 1412.535400 joules, 1495884860 ms, plat.node0
ENERGY, 1418.773621 joules, 1495884960 ms, plat
ENERGY, 1418.773621 joules, 1495884960 ms, plat.node0
ENERGY, 1425.067139 joules, 1495885060 ms, plat
ENERGY, 1425.067139 joules, 1495885060 ms, plat.node0
ENERGY, 1431.369049 joules, 1495885160 ms, plat
ENERGY, 1431.369049 joules, 1495885160 ms, plat.node0
ENERGY, 1437.669403 joules, 1495885261 ms, plat
ENERGY, 1437.669403 joules, 1495885261 ms, plat.node0
ENERGY, 1443.907349 joules, 1495885361 ms, plat
ENERGY, 1443.907349 joules, 1495885361 ms, plat.node0
ENERGY, 1450.204437 joules, 1495885461 ms, plat
ENERGY, 1450.204437 joules, 1495885461 ms, plat.node0
ENERGY, 1456.496368 joules, 1495885561 ms, plat
ENERGY, 1456.496368 joules, 1495885561 ms, plat.node0
ENERGY, 1462.751312 joules, 1495885661 ms, plat
ENERGY, 1462.751312 joules, 1495885661 ms, plat.node0
ENERGY, 1468.914612 joules, 1495885761 ms, plat
ENERGY, 1468.914612 joules, 1495885761 ms, plat.node0
ENERGY, 1475.050323 joules, 1495885861 ms, plat
ENERGY, 1475.050323 joules, 1495885861 ms, plat.node0
ENERGY, 1481.314362 joules, 1495885961 ms, plat
ENERGY, 1481.314362 joules, 1495885961 ms, plat.node0
ENERGY, 1487.582214 joules, 1495886061 ms, plat
ENERGY, 1487.582214 joules, 1495886061 ms, plat.node0
ENERGY, 1493.889893 joules, 1495886161 ms, plat
ENERGY, 1493.889893 joules, 1495886161 ms, plat.node0
ENERGY, 1500.223267 joules, 1495886261 ms, plat
ENERGY, 1500.223267 joules, 1495886261 ms, plat.node0
ENERGY, 1506.551422 joules, 1495886362 ms, plat
ENERGY, 1506.551422 joules, 1495886362 ms, plat.node0
ENERGY, 1512.811676 joules, 1495886462 ms, plat
ENERGY, 1512.811676 joules, 1495886462 ms, plat.node0
ENERGY, 1519.140137 joules, 1495886562 ms, plat
ENERGY, 1519.140137 joules, 1495886562 ms, plat.node0
ENERGY, 1525.473022 joules, 1495886662 ms, plat
ENERGY, 1525.473022 joules, 1495886662 ms, plat.node0
ENERGY, 1531.808075 joules, 1495886762 ms, plat
ENERGY, 1531.808075 joules, 1495886762 ms, plat.node0
ENERGY, 1538.135284 joules, 1495886862 ms, plat
ENERGY, 1538.135284 joules, 1495886862 ms, plat.node0
ENERGY, 1544.461639 joules, 1495886962 ms, plat
ENERGY, 1544.461639 joules, 1495886962 ms, plat.node0
ENERGY, 1550.730774 joules, 1495887062 ms, plat
ENERGY, 1550.730774 joules, 1495887062 ms, plat.node0
ENERGY, 1557.066132 joules, 1495887162 ms, plat
ENERGY, 1557.066132 joules, 1495887162 ms, plat.node0
